orderID,productID,unitPrice,quantity,discount,customerID,employeeID,orderDate,requiredDate,shippedDate,shipperID,freight
10248,11,14.0,12,0.0,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38
10248,42,9.8,10,0.0,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38
10248,72,34.8,5,0.0,VINET,5,2013-07-04,2013-08-01,2013-07-16,3,32.38
10249,14,18.6,9,0.0,TOMSP,6,2013-07-05,2013-08-16,2013-07-10,1,11.61
10249,51,42.4,40,0.0,TOMSP,6,2013-07-05,2013-08-16,2013-07-10,1,11.61
10250,41,7.7,10,0.0,HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83
10250,51,42.4,35,0.15,HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83
10250,65,16.8,15,0.15,HANAR,4,2013-07-08,2013-08-05,2013-07-12,2,65.83
10251,22,16.8,6,0.05,VICTE,3,2013-07-08,2013-08-05,2013-07-15,1,41.34
10251,57,15.6,15,0.05,VICTE,3,2013-07-08,2013-08-05,2013-07-15,1,41.34
10251,65,16.8,20,0.0,VICTE,3,2013-07-08,2013-08-05,2013-07-15,1,41.34
10252,20,64.8,40,0.05,SUPRD,4,2013-07-09,2013-08-06,2013-07-11,2,51.3
10252,33,2.0,25,0.05,SUPRD,4,2013-07-09,2013-08-06,2013-07-11,2,51.3
10252,60,27.2,40,0.0,SUPRD,4,2013-07-09,2013-08-06,2013-07-11,2,51.3
10253,31,10.0,20,0.0,HANAR,3,2013-07-10,2013-07-24,2013-07-16,2,58.17
10253,39,14.4,42,0.0,HANAR,3,2013-07-10,2013-07-24,2013-07-16,2,58.17
10253,49,16.0,40,0.0,HANAR,3,2013-07-10,2013-07-24,2013-07-16,2,58.17
10254,24,3.6,15,0.15,CHOPS,5,2013-07-11,2013-08-08,2013-07-23,2,22.98
10254,55,19.2,21,0.15,CHOPS,5,2013-07-11,2013-08-08,2013-07-23,2,22.98
10254,74,8.0,21,0.0,CHOPS,5,2013-07-11,2013-08-08,2013-07-23,2,22.98
10255,2,15.2,20,0.0,RICSU,9,2013-07-12,2013-08-09,2013-07-15,3,148.33
10255,16,13.9,35,0.0,RICSU,9,2013-07-12,2013-08-09,2013-07-15,3,148.33
10255,36,15.2,25,0.0,RICSU,9,2013-07-12,2013-08-09,2013-07-15,3,148.33
10255,59,44.0,30,0.0,RICSU,9,2013-07-12,2013-08-09,2013-07-15,3,148.33
10256,53,26.2,15,0.0,WELLI,3,2013-07-15,2013-08-12,2013-07-17,2,13.97
10256,77,10.4,12,0.0,WELLI,3,2013-07-15,2013-08-12,2013-07-17,2,13.97
10257,27,35.1,25,0.0,HILAA,4,2013-07-16,2013-08-13,2013-07-22,3,81.91
10257,39,14.4,6,0.0,HILAA,4,2013-07-16,2013-08-13,2013-07-22,3,81.91
10257,77,10.4,15,0.0,HILAA,4,2013-07-16,2013-08-13,2013-07-22,3,81.91
10258,2,15.2,50,0.2,ERNSH,1,2013-07-17,2013-08-14,2013-07-23,1,140.51
10258,5,17.0,65,0.2,ERNSH,1,2013-07-17,2013-08-14,2013-07-23,1,140.51
10258,32,25.6,6,0.2,ERNSH,1,2013-07-17,2013-08-14,2013-07-23,1,140.51
10259,21,8.0,10,0.0,CENTC,4,2013-07-18,2013-08-15,2013-07-25,3,3.25
